name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
conv6_1_conv_7,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
noname_bn_scale159,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,0,0,3136,0,3136
avg_pool1,"kernel=14x14,stride=14x14,pad=0x0,type=1","[1, 16, 14, 14]","[1, 16, 1, 1]",16,3136,0,3152,0,16
noname_view161,None,"[1, 16, 1, 1]","[1, -1]",0,0,0,0,0,-1
conv7_0,"kernel=3x3,stride=2x2,pad=1x1,num_out=32","[1, 16, 14, 14]","[1, 32, 7, 7]",225792,225792,0,451584,4608,1568
conv7_1,None,"[1, 32, 7, 7]","[1, 32, 7, 7]",1568,1568,0,3136,0,1568
noname_bn_scale164,None,"[1, 32, 7, 7]","[1, 32, 7, 7]",1568,0,0,1568,0,1568
conv7_2,None,"[1, 32, 7, 7]","[1, 32, 7, 7]",0,0,1568,1568,0,1568
avg_pool2,"kernel=7x7,stride=7x7,pad=0x0,type=1","[1, 32, 7, 7]","[1, 32, 1, 1]",32,1568,0,1600,0,32
noname_view167,None,"[1, 32, 1, 1]","[1, -1]",0,0,0,0,0,-1
conv8,"kernel=7x7,stride=1x1,pad=0x0,num_out=128","[1, 32, 7, 7]","[1, 128, 1, 1]",200704,200704,0,401408,200704,128
relu_sub2,None,"[1, 128, 1, 1]","[1, 128, 1, 1]",0,0,128,128,0,128
noname_view170,None,"[1, 128, 1, 1]","[1, -1]",0,0,0,0,0,-1
noname_cat171,None," [1, -1] [1, -1] [1, -1]","[1, -3]",0,0,0,0,0,-1
fc,None,"[1, -3]","[1, 196]",-588,-588,0,-1176,-588,196
